price_name,BB_BUY_15m,BB_BUY_30m,BB_BUY_1h,BB_BUY_1D,BB_BUY_1W,BB_SELL_15m,BB_SELL_30m,BB_SELL_1h,BB_SELL_1D,BB_SELL_1W,RSI_15m,RSI_30m,RSI_1h,RSI_1D,RSI_1W,MACD_15m,MACD_30m,MACD_1h,MACD_1D,MACD_1W
XAU/USD,0,0,0,0,0,0,0,0,0,0,54.24486148346765,54.423592493297704,55.31724754244792,82.176023638666,94.6249562422429,False,False,False,False,False
AUD/CAD,0,0,0,0,0,0,0,0,0,0,57.92349726775687,80.25641025640908,80.0,94.25202652910829,99.2742160602959,False,False,False,False,False
AUD/CHF,0,0,0,0,0,0,0,0,0,0,76.9230769230727,87.53709198812793,71.80722891566246,85.77569363032444,79.56244589596282,False,False,False,False,False
AUD/CNH,0,0,0,0,0,0,0,0,1,0,79.86111111110897,90.2684563758377,90.2684563758377,96.88686408504226,97.12760549059485,False,False,False,False,False
AUD/JPY,0,0,0,0,0,0,0,0,1,0,80.28673835125278,90.72512647554697,90.05059021922477,95.28245192307703,74.80606851101804,False,False,False,False,False
AUD/NOK,0,0,0,0,0,0,0,0,0,0,37.46350956860123,57.931485926248406,57.9751254636696,15.953905249680043,57.94324271505127,False,False,False,False,False
AUD/NZD,0,0,0,0,0,0,0,0,0,1,57.94392523363972,57.94392523363972,32.891246684347244,60.907046476761074,87.51496289202758,False,False,False,False,False
AUD/PLN,0,0,0,0,0,0,0,0,0,0,38.07740324594219,67.68729641693804,67.68729641693804,73.62765957446818,94.77158645125915,False,False,False,False,False
AUD/SGD,0,0,0,0,0,0,0,0,1,0,81.35593220339193,90.59829059829167,90.59829059829167,96.86924493554362,96.39475600874006,False,False,False,False,False
AUD/USD,0,0,0,0,0,0,0,0,0,0,88.72727272727525,94.58041958042091,94.58041958042091,98.58623939679511,87.63282654896193,False,False,False,False,False
CAD/CHF,0,0,0,0,0,0,0,0,0,0,56.725146198828625,68.51063829787019,41.432225063939455,73.1624758220506,41.56741305383512,False,False,False,False,False
CAD/JPY,0,0,0,0,0,0,0,0,1,0,79.35779816513715,88.32891246684083,81.0679611650481,89.28806855636117,33.65675057208241,False,False,False,False,False
CAD/NOK,0,0,0,0,0,0,0,0,0,0,41.73756122711961,38.38360580244098,39.79871912168375,6.361000362450146,20.20587238259145,False,False,False,False,False
CAD/PLN,0,0,0,0,0,0,0,0,0,0,22.1763085399446,49.0532010820577,44.954128440369075,57.195742711707666,87.3097314862322,False,False,False,False,False
CHF/HUF,0,0,0,0,0,0,0,0,0,0,36.22250970245327,71.18644067796328,74.24242424242212,29.086487629519652,48.014221536256606,False,False,False,False,False
CHF/JPY,0,0,0,0,0,0,0,0,0,0,79.9065420560783,89.95327102803915,91.06029106029258,97.68847795163592,49.30892119906661,False,False,False,False,False
CHF/NOK,0,0,0,0,0,0,0,0,0,0,46.33591260810191,37.831146323346374,47.76911076443008,12.705426591204786,29.19625328423667,False,False,False,False,False
CHF/PLN,0,0,0,0,0,0,0,0,0,0,8.976660682221116,31.418581418580022,40.433839479390834,22.85898261429445,76.0489992234273,False,False,False,False,False
CNH/JPY,0,0,0,0,0,0,0,0,0,0,53.38345864661197,71.9540229885057,45.62682215743424,85.67908838928243,42.23731236597577,False,False,False,False,False
EUR/AUD,0,0,0,0,0,0,0,0,0,0,39.48339483394495,18.04384485665946,18.04384485665946,19.78287092882963,15.27425020264792,False,False,False,False,False
EUR/CAD,0,0,0,0,0,0,0,0,0,0,43.59861591695547,20.095693779904934,20.255183413079823,33.46912521440849,55.46626582644395,False,False,False,False,False
EUR/CHF,0,0,0,0,0,0,0,0,1,0,66.66666666666666,30.422535211267252,26.86567164179088,53.34608030592734,40.86702386751123,False,False,False,False,False
EUR/CNH,0,0,0,0,0,1,1,0,0,0,86.12716763005905,73.33333333333607,77.19298245614301,69.28395061728413,55.935292777398175,False,False,False,False,False
EUR/CZK,1,1,1,0,0,0,0,0,0,0,9.259259259257066,4.761904761903795,4.761904761903795,56.11866501854122,78.2595693779904,False,False,False,False,False
EUR/DKK,0,0,0,0,1,0,0,0,0,0,57.14285714285714,67.01570680628491,76.49253731343396,33.1978319783209,21.048109965636513,False,False,False,False,False
EUR/GBP,0,0,0,0,0,0,0,0,0,0,86.11111111110876,71.26436781609134,76.74418604651144,94.5042703304863,54.096621511343216,False,False,False,False,False
EUR/HKD,0,0,0,0,0,1,1,1,0,0,88.97058823529392,88.97058823529392,91.94444444444339,79.70423253442137,37.07649060511913,False,False,False,False,False
EUR/HUF,0,0,0,0,0,0,0,0,0,0,56.89655172413486,74.19945105214688,73.74199451051877,34.0771929824561,46.273274455757395,False,False,False,False,False
EUR/JPY,0,0,0,0,0,1,1,0,1,0,87.07482993196956,76.67638483965088,75.57471264367989,94.77869069705834,51.32730664370776,False,False,False,False,False
EUR/MXN,0,0,0,0,0,0,0,0,0,0,30.193090963945423,13.521364634351748,13.693632832291966,8.828004480040647,71.11493210598006,False,False,False,False,False
EUR/NOK,0,0,0,0,0,0,0,0,0,0,47.35118199943075,34.700282456324175,34.700282456324175,7.498900812584363,28.409455960996972,False,False,False,False,False
EUR/NZD,0,0,0,0,0,0,0,0,0,0,33.72093023255637,16.936671575846695,17.010309278349226,40.88422971741112,34.09484139698818,False,False,False,False,False
EUR/PLN,0,0,0,0,0,0,0,0,0,0,0.9066183136958864,0.9122807017572115,0.9122807017572115,31.850117096019414,76.01476960947718,False,False,False,False,False
EUR/RUB,0,0,0,0,0,0,0,0,0,0,14.054054054052392,4.976076555023197,4.905660377357772,0.992851469420118,46.112266112266134,False,False,False,False,False
EUR/SEK,1,0,1,0,0,0,0,0,0,0,8.691099476439154,5.1698978528252875,5.1490514905163005,0.6842673906420584,6.637809737602426,False,False,False,False,False
EUR/SGD,0,0,0,0,0,1,0,0,0,0,87.50000000000087,69.99999999999777,73.91304347825982,76.57232704402533,52.42819843342039,False,False,False,False,False
EUR/TRY,0,0,0,0,0,0,0,0,0,0,71.85686653771856,88.24362606232242,88.24362606232242,11.691929006347952,68.9465092441441,False,False,False,False,False
EUR/USD,0,0,0,0,0,1,1,1,0,0,87.46438746438803,87.5,91.10169491525251,80.38125496425755,38.69843114468321,False,False,False,False,False
EUR/ZAR,0,0,0,0,0,0,0,0,0,0,47.71459166995378,20.64122881872466,20.201875581644888,7.788594018748938,75.65761952294365,False,False,False,False,False
GBP/AUD,0,0,1,0,0,0,0,0,0,0,19.833564493759425,12.338222605694941,10.759969902182391,1.5511443757457883,0.6726057906458356,False,False,False,False,False
GBP/CAD,0,0,1,0,0,0,0,0,0,0,14.860681114552404,14.860681114552404,11.750305997552884,4.523380047176408,31.16417910447764,False,False,False,False,False
GBP/CHF,0,0,0,0,0,0,0,0,0,0,17.4603174603197,15.348837209304872,8.16077953714914,23.229841411659528,42.212970564090554,False,False,False,False,False
GBP/DKK,0,0,0,0,0,0,0,0,0,0,9.54198473282277,29.25373134328426,23.762376237625546,5.030257186081389,40.94359151285147,False,False,False,False,False
GBP/HKD,0,0,0,0,0,0,0,0,0,0,68.77828054298686,82.17054263565934,74.53271028037491,35.21195785346712,46.23018706268739,False,False,False,False,False
GBP/JPY,0,0,0,0,0,0,0,0,0,0,36.64921465968926,59.73377703827112,41.976744186044684,45.085803432137226,37.620824959326235,False,False,False,False,False
GBP/MXN,0,0,0,0,0,0,0,0,0,0,9.60809102402046,4.764890282131708,3.8171772978403142,0.8289947937525629,61.868095521598235,False,False,False,False,False
GBP/NOK,0,0,0,0,0,0,0,0,0,0,31.625441696112194,29.876212780194173,29.84275677484248,2.99923729193775,18.627015107190807,False,False,False,False,False
GBP/NZD,0,0,0,1,0,0,0,0,0,0,15.688622754490355,10.65040650406443,7.74689532820771,1.7635971997844915,6.88594242180066,False,False,False,False,False
GBP/PLN,0,1,1,1,0,0,0,0,0,0,1.0055865921803786,0.7076350093139561,0.6044325050379029,0.18319811567656202,65.97626877439951,False,False,False,False,False
GBP/SEK,1,0,1,0,1,0,0,0,0,0,9.911504424777709,10.336283185839298,6.850110298386639,0.9718813316422255,1.7454077477604333,False,False,False,False,False
GBP/SGD,0,0,0,0,0,0,0,0,0,0,36.80851063829691,37.0212765957451,31.25000000000223,21.611918865553882,45.52414944447644,False,False,False,False,False
GBP/USD,0,0,0,0,0,0,0,0,0,0,71.37809187278559,83.3001988071539,76.08695652173921,35.62845699027282,47.60706697976074,False,False,False,False,False
GBP/ZAR,0,0,0,1,0,0,0,0,0,0,33.784629387337596,13.685643107584196,12.612573131450086,3.309402074834201,62.863860686169815,False,False,False,False,False
HKD/JPY,0,0,0,0,0,0,0,0,1,0,8.438818565403722,7.076923076922842,4.197080291970732,75.9985475671748,61.30965118767381,False,False,False,False,False
NOK/DKK,0,0,0,0,0,0,0,0,0,0,49.55555555555635,63.089430894309636,63.089430894309636,92.24546722454672,64.9399733214762,False,False,False,False,False
NOK/JPY,0,0,0,0,0,0,0,0,1,0,64.51187335092379,75.11563367252599,75.11563367252599,92.87610619469035,59.58770158058419,False,False,False,False,False
